id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
59;scraping restaurants;requests;1566989651.798441;-1.4600460529327393;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or590-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or590-Mother-Copenhagen_Zealand.html;1293832;200;True;
60;scraping restaurants;requests;1566989654.76832;-1.459744930267334;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or600-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or600-Mother-Copenhagen_Zealand.html;1293010;200;True;
61;scraping restaurants;requests;1566989657.739499;-1.4574558734893799;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or610-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or610-Mother-Copenhagen_Zealand.html;1291922;200;True;
62;scraping restaurants;requests;1566989660.7070348;-1.459670066833496;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or620-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or620-Mother-Copenhagen_Zealand.html;1293192;200;True;
63;scraping restaurants;requests;1566989663.674295;-1.5629351139068604;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or630-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or630-Mother-Copenhagen_Zealand.html;1296447;200;True;
64;scraping restaurants;requests;1566989666.748228;-1.367638111114502;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or640-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or640-Mother-Copenhagen_Zealand.html;1291453;200;True;
65;scraping restaurants;requests;1566989669.625188;-1.4518399238586426;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or650-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or650-Mother-Copenhagen_Zealand.html;1294555;200;True;
66;scraping restaurants;requests;1566989672.585799;-1.4904789924621582;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or660-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or660-Mother-Copenhagen_Zealand.html;1294488;200;True;
67;scraping restaurants;requests;1566989675.582111;-1.4213480949401855;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or670-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or670-Mother-Copenhagen_Zealand.html;1293032;200;True;
68;scraping restaurants;requests;1566989678.5121999;-1.474236249923706;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or680-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or680-Mother-Copenhagen_Zealand.html;1293226;200;True;
