,Unnamed: 0,name,bubble,review
1468,11,Café Baggården,5 ud af 5 bobler,1 anmeldelse
1469,12,Green & Yellow Restaurant,"3,5 ud af 5 bobler",4 anmeldelser
1470,13,TS Smørrebrød,"3,5 ud af 5 bobler",3 anmeldelser
1471,14,Suyiyaki Japansk Restaurant,"3,5 ud af 5 bobler",3 anmeldelser
1472,15,Pejsegaarden,"3,5 ud af 5 bobler",2 anmeldelser
1473,16,Ristorante & Pizzeria Il Rustico,4 ud af 5 bobler,1 anmeldelse
1474,17,Greta's,4 ud af 5 bobler,1 anmeldelse
1475,18,Kopan Street,4 ud af 5 bobler,1 anmeldelse
1476,19,Bryggen11,4 ud af 5 bobler,1 anmeldelse
1477,20,Il Borgo,4 ud af 5 bobler,1 anmeldelse
1478,21,Isklubben CPH,4 ud af 5 bobler,1 anmeldelse
1479,22,7 Eleven,"3,5 ud af 5 bobler",2 anmeldelser
1480,23,Okawari Sushi,"3,5 ud af 5 bobler",3 anmeldelser
1481,24,cafe Emil,3 ud af 5 bobler,34 anmeldelser
1482,25,Cafe Paris,4 ud af 5 bobler,1 anmeldelse
1483,26,Cafe Arcade,4 ud af 5 bobler,1 anmeldelse
1484,27,Radhusstræde BAGEL & SALATBAR,4 ud af 5 bobler,1 anmeldelse
1485,28,Cafe Palads,4 ud af 5 bobler,1 anmeldelse
1486,29,MAUI Reykjaviksgade ApS,"3,5 ud af 5 bobler",3 anmeldelser
1487,30,Stuen 11,4 ud af 5 bobler,1 anmeldelse
1489,1,Laboca,"3,5 ud af 5 bobler",2 anmeldelser
1490,2,Karamba,"3,5 ud af 5 bobler",3 anmeldelser
1492,4,Güllüoglu,4 ud af 5 bobler,1 anmeldelse
1493,5,Palæo Frederiksberg Center,"3,5 ud af 5 bobler",4 anmeldelser
1494,6,Mät Copenhagen,3 ud af 5 bobler,162 anmeldelser
1495,7,Krôyers,3 ud af 5 bobler,45 anmeldelser
1496,8,Antico Forno a Legna,4 ud af 5 bobler,1 anmeldelse
1498,10,Hunkar Restaurant,4 ud af 5 bobler,2 anmeldelser
1499,11,LETZ SUSHI NØRREBRO,"3,5 ud af 5 bobler",9 anmeldelser
1500,12,Mozarts grill,4 ud af 5 bobler,1 anmeldelse
1501,13,Bavnehøj Smørrebrød & Sandwich,"3,5 ud af 5 bobler",2 anmeldelser
1502,14,Orientalsk Steak House,4 ud af 5 bobler,1 anmeldelse
1503,15,Ost deli,5 ud af 5 bobler,1 anmeldelse
1504,16,Kebab Street kitchen,4 ud af 5 bobler,1 anmeldelse
1505,17,Cous Cous,5 ud af 5 bobler,1 anmeldelse
1506,18,Intermezzo,"3,5 ud af 5 bobler",3 anmeldelser
1507,19,Bulko,3 ud af 5 bobler,10 anmeldelser
1508,20,Rosengarden Bodega,"3,5 ud af 5 bobler",8 anmeldelser
1509,21,Den Go'e Kaffebar,5 ud af 5 bobler,7 anmeldelser
1510,22,Cafe Betty Aps,4 ud af 5 bobler,1 anmeldelse
1511,23,Teglholmens-Cafe,4 ud af 5 bobler,1 anmeldelse
1512,24,Cucinetta,3 ud af 5 bobler,29 anmeldelser
1513,25,Cafe Grusgraven,"3,5 ud af 5 bobler",5 anmeldelser
1514,26,Café La Grotte,4 ud af 5 bobler,1 anmeldelse
1515,27,Café Delfinen,4 ud af 5 bobler,1 anmeldelse
1516,28,Akiba Sushi & Wok,3 ud af 5 bobler,15 anmeldelser
1517,29,Fuyi,"3,5 ud af 5 bobler",2 anmeldelser
1518,30,Mediterranean Kitchen,3 ud af 5 bobler,29 anmeldelser
1522,3,Bellmans café,4 ud af 5 bobler,1 anmeldelse
1523,4,Styrmanden Cafe-Restaurant,4 ud af 5 bobler,1 anmeldelse
